Geography,Year,Sex,Incidence Rate (Age-standardized),Incident Cases (Across all ages),Population At-Risk (Across All Ages),Standard Error,Standard Score,Alberta Rate
Z5,2010,MALE,36.2,46.0,229536.84354,5.57,0.16,35.286
Z5,2011,BOTH,15.365,41.0,447204.45148,2.44,-4.14,25.488
Z5,2011,FEMALE,11.404,16.0,214161.29998,2.88,-2.49,18.587
Z5,2011,MALE,20.176,25.0,233043.1515,4.21,-3.32,34.139
Z5,2012,BOTH,18.915,52.0,457130.87807,2.67,-1.97,24.154
Z5,2012,FEMALE,9.56,13.0,218883.4443,2.68,-3.13,17.935
Z5,2012,MALE,29.288,39.0,238247.43377,4.9,-0.54,31.937
Z5,2013,BOTH,22.142,66.0,468125.94535,2.77,-0.31,23.005
Z5,2013,FEMALE,16.765,25.0,223721.07591,3.38,0.02,16.695
Z5,2013,MALE,28.897,41.0,244404.86944,4.72,-0.44,30.956
Z5,2014,BOTH,22.076,68.0,476661.08702,2.73,-0.63,23.783
Z5,2014,FEMALE,12.741,20.0,227825.02696,2.88,-1.52,17.13
Z5,2014,MALE,31.998,48.0,248836.06006,4.8,-0.07,32.318
Z5,2015,BOTH,16.761,54.0,479756.17368,2.32,-3.45,24.775
Z5,2015,FEMALE,16.944,27.0,229993.16519,3.29,-0.29,17.915
Z5,2015,MALE,16.711,27.0,249763.00849,3.37,-4.94,33.338
Z5,2016,BOTH,20.378,65.0,477083.8754,2.57,-3.6,29.627
Z5,2016,FEMALE,13.618,22.0,229668.5182,2.92,-2.58,21.156
Z5,2016,MALE,28.115,43.0,247415.3572,4.45,-2.77,40.467
Z5,2017,BOTH,27.075,87.0,473726.34052,2.96,-0.78,29.394
Z5,2017,FEMALE,19.784,34.0,228471.16694,3.43,-0.48,21.429
Z5,2017,MALE,36.424,53.0,245255.17359,5.19,-0.61,39.596
Z5,2018,BOTH,22.01,75.0,475978.63798,2.59,-2.63,28.824
Z5,2018,FEMALE,14.596,25.0,229703.20529,2.96,-1.97,20.429
Z5,2018,MALE,29.382,50.0,246275.4327,4.29,-2.25,39.03
Z5,2019,BOTH,23.269,82.0,478058.19591,2.61,-2.26,29.181
Z5,2019,FEMALE,14.585,25.0,230849.22881,2.95,-2.49,21.923
